Method,MRR (Original),MRR (Rewritten),MRR Improvement,Recall@10 (Original),Recall@10 (Rewritten),Recall@10 Improvement,NDCG@10 (Original),NDCG@10 (Rewritten),NDCG@10 Improvement,Semantic Similarity,Avg Inference Time (s),Memory Usage (MB),Queries/Second
LORA,0.91,0.79,0.12,0.91,0.79,0.12,0.9994796800432773,0.9969553984602371,0.002524281583040189,0.8367222,0.24130311012268066,967.109375,4.144165400485684
BITFIT,0.91,0.82,0.09000000000000008,0.91,0.82,0.09000000000000008,0.9994796800432773,0.9996183738084747,0.000138693765197484,0.84380823,0.23769070863723754,1204.21875,4.207148044336034
ZOO,0.91,0.8,0.10999999999999999,0.91,0.8,0.10999999999999999,0.9994796800432773,0.999669430663429,0.0001897506201516963,0.82673573,0.21894920587539674,1422.390625,4.567269362781324
ES,0.91,0.81,0.09999999999999998,0.91,0.81,0.09999999999999998,0.9994796800432773,0.9969606409536853,0.0025190390895919457,0.84831,0.2505605053901672,1331.65625,3.9910519754213554
